weight,E
1.003823634806551,0.025
1.0377753706180008,0.075
1.1104196685071408,0.125
1.0492171671869879,0.175
1.4108471815871388,0.225
1.1716286048670368,0.275
1.0347985109745539,0.325
1.0290250067556135,0.375
1.0530286010594976,0.425
1.06908904389595,0.475
1.0699958515882197,0.525
1.06685560763095,0.575
1.062600647075388,0.625
1.058549046007231,0.675
1.0513127417351262,0.725
1.047111493095927,0.775
1.0459617789910147,0.825
1.039942391455182,0.875
1.0371706677334789,0.925
1.0348947038934313,0.975
1.0340244548545199,1.025
1.0337533128942786,1.075
1.033173072085721,1.125
1.034476981755337,1.175
1.0343360373286856,1.225
1.0354454091410008,1.275
1.03829279255435,1.325
1.0363478826001407,1.375
1.037983391129633,1.425
1.0455197815324262,1.475
1.0394836617777155,1.525
1.0407635926559056,1.575
1.0425461557305231,1.625
1.0372166678842147,1.675
1.0360430367489697,1.725
1.0352763303760486,1.775
1.0333630680807417,1.825
1.0323036162059098,1.875
1.0369980885917618,1.925
1.0292865333882002,1.975
1.028868078983917,2.025
1.0277503080041244,2.075
1.0278293150482956,2.125
1.0270866754187034,2.175
1.0260653113441363,2.225
1.0192325892236052,2.275
1.0219812574783753,2.325
1.018927053578997,2.375
1.0161179769851576,2.425
1.01759652250203,2.475
1.0154341816190424,2.525
1.0169351239203133,2.575
1.014647964387138,2.625
1.0155057616444594,2.675
1.0136192472189909,2.725
1.0100629260475003,2.775
1.016273845768425,2.825
1.0112351786119986,2.875
1.011195234747025,2.925
1.0123273436001956,2.975
1.012775324761739,3.025
1.0117056388624497,3.075
1.0135234148209518,3.125
1.0094115529335104,3.175
1.0095488991537438,3.225
1.0132250754143002,3.275
1.0101976256403082,3.325
1.0119358236520908,3.375
1.0156689240174088,3.425
1.0102935415185572,3.475
1.0091192663833128,3.525
1.0082532870221181,3.575
1.0136957503612298,3.625
1.0064325913988543,3.675
1.0085830942231155,3.725
1.0092121067773836,3.775
1.0157115302742956,3.825
1.0120204182001937,3.875
1.013260113069659,3.925
1.0096735821775793,3.975
1.006990944070956,4.025
1.0080330892051421,4.075
1.0112025573121906,4.125
1.0082315747644004,4.175
1.0079918216983255,4.225
1.016739882959129,4.275
1.0101333435982487,4.325
1.0099391601285905,4.375
1.0174250706915773,4.425
1.0057947196926968,4.475
